nombre_unidad,razon_social,scian_codigo,scian_descripcion,estrato_personal,municipio,estado,colonia,telefono,www,source_url,source_date,exclusion_anexo_a
CALZADO MI LORD,CALZADO MI LORD,316212,Fabricación de calzado con corte de tela,251 y más personas,Purísima del Rincón,Guanajuato,LOS VENEROS,,TOPMODABYMILORD.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO MILAGROS,MANUFACTURERA SOTO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,SAN PEDRO DE LOS HERNANDEZ,4775972939,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO MINI BURBUJAS,CALZADO MINI BURBUJAS,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,DE GUADALUPE,4773724073,WWW.MINIBURBUJAS.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO MINI VIC,GRUPO ZAPATERO MEDINA,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,HIDALGO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO NEGRO TOTAL,,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,PRESIDENTES DE MEXICO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO NEGRO TOTAL,,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,PRESIDENTES DE MEXICO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO PAZSTOR MANUFACTURERA DE CALZADO MI PAZSTOR,CALZADO PAZSTOR MANUFACTURERA DE CALZADO MI PAZSTOR,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,Manuel Doblado,Guanajuato,LA CAYETANA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO PERUGIA,DISTRIBUIDORA PERUGIA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,EYUPOL,,WWW.PERUGIA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO SALAMANDRA,,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,JARDINES DEL SOL,,WWW.SALAMANDRA.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO SPIRIT 2000,CALZADO SPIRIT 2000,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,Cuerámaro,Guanajuato,LA BATALLA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
