no,nombre_instalacion,estado,anio_vigencia,tipo_certificado
628,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO CENTRO, ZONA POLANCO, SUBESTACIÓN REFORMA",Cd. de México / Zmvm,2026,Calidad Ambiental
629,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO CENTRO, ZONA POLANCO, SUBESTACIÓN HUASTECA",Cd. de México / Zmvm,2026,Calidad Ambiental
630,"CONSTRUCTORA SUBACUÁTICA DIAVAZ, S.A. DE C.V. (EDIFICIO CORPORATIVO Y PATIO DE MANIOBRAS DE OPERACIONES DE EMBARQUE Y DESEMBARQUE)",Campeche,2026,Calidad Ambiental
631,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN PENINSULAR, ZONA DE TRANSMISIÓN YUCATÁN, SUBESTACIÓN MÉRIDA POTENCIA, SUBESTACIÓN KANASÍN POTENCIA Y SUBESTACIÓN CAUCEL POTENCIA",Yucatán,2026,Calidad Ambiental
632,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA CÓRDOBA, SUBESTACIÓN CÓRDOBA II.",Veracruz,2026,Calidad Ambiental
633,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO CENTRO, ZONA TACUBA, SUBESTACIÓN NONOALCO",Cd. de México / Zmvm,2026,Calidad Ambiental
634,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L DE C.V., PLANTA MEOQUI",Chihuahua,2026,Industria Limpia
635,"PREMIER DE AMERICA, S. A. DE C.V. (GMC LOS MOCHIS)",Sinaloa,2026,Calidad Ambiental
636,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN PENINSULAR, ZONA DE TRANSMISIÓN YUCATAN, SUBESTACIÓN TICUL",Yucatán,2026,Calidad Ambiental
637,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN PENINSULAR, ZONA DE TRANSMISIÓN YUCATAN, SUBESTACIÓN MANIOBRAS PROGRESO",Yucatán,2026,Calidad Ambiental
638,"CFE TRANSMISIÓN, GERENCIA REGIONAL DE TRANSMISIÓN PENINSULAR, ZONA DE TRANSMISIÓN VALLADOLID, SUBESTACIÓN TIZIMÍN",Yucatán,2026,Calidad Ambiental
639,"MEXICAN SILICATES, S.A. DE C.V. (PLANTA LA MAGDALENA)",Tlaxcala,2026,Industria Limpia
640,"BOCAR, S.A. DE C.V. PLANTA LERMA",México,2026,Industria Limpia
641,"ENVASES UNIVERSALES DE MÉXICO, S.A.P.I. DE C.V. (PLANTA AGUASCALIENTES)",Aguascalientes,2026,Industria Limpia
