no,nombre_instalacion,estado,tipo_certificado
126,"MOLINO HARINERO SAN BLAS, S.A. DE C.V.",Puebla,Industria Limpia
127,"RASSINI FRENOS, S.A. DE C.V.",Puebla,Industria Limpia
128,"USG MÉXICO, S.A. DE C.V., PLANTA PUEBLA",Puebla,Industria Limpia
129,"AUTOLIV STEERING WHEELS MÉXICO, S. DE R.L. DE C.V. (PLANTA AQW)",Queretaro,Industria Limpia
130,"ALEN DEL NORTE, S.A. DE C.V. (PLANTA QUERÉTARO)",Queretaro,Industria Limpia
131,"MÁS LIMPIO, S.A. DE C.V.",Jalisco,Calidad Ambiental
132,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L DE C.V., PLANTA SAN FELIPE",Guanajuato,Industria Limpia
133,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SALVATIERRA, SUBESTACIONES ACÁMBARO, OJO SECO, URIANGATO, GUARAPO, JARAL DEL PROGRESO, SALVATIERRA Y TARANDACUAO.",Guanajuato,Calidad Ambiental
134,"NESTLÉ MÉXICO, S.A. DE C.V. (PLANTA QUERÉTARO)",Queretaro,Industria Limpia
135,"CFE GENERACIÓN VI EPS, CENTRAL HIDROELÉCTRICA (ÁNGEL ALBINO CORZO (PEĄITAS))",Chiapas,Industria Limpia
136,"HARMAN DE MÉXICO, S. DE R.L. DE C.V. (PLANTA II)",Chihuahua,Industria Limpia
137,"YOLI DE ACAPULCO, S. DE R.L. DE C.V. (PLANTA CAYACO)",Guerrero,Industria Limpia
138,"LEAR ELECTRICAL SYSTEMS DE MÉXICO, S. DE R.L. DE C.V., PLANTA TRIUNFO",Chihuahua,Industria Limpia
139,"COMERCIALIZADORA DE LÁCTEOS Y DERIVADOS, S.A. DE C.V. (PLANTA MÉXICO)",Distrito Federal,Industria Limpia
140,"ECOFIBRAS PONDEROSA, S.A. DE C.V. (CENTRO DE ACOPIO SAN NICOLAS TEQUISQUIAPAN)",Queretaro,Calidad Ambiental
141,"SCHWABE MÉXICO, S.A. DE C.V. (PLANTA XOCHITEPEC)",Morelos,Industria Limpia
142,"CFE DISTRIBUCIÓN, GERENCIA VALLE DE MÉXICO SUR ZONA UNIVERSIDAD SUBESTACIÓN SAN ANDRÉS",Distrito Federal,Calidad Ambiental
143,"PETRÓLEOS MEXICANOS (CLÍNICA DE PRIMER NIVEL, CIUDAD DEL CARMEN)",Campeche,Calidad Ambiental
144,"OMNILIFE MANUFACTURA, S.A. DE C.V.",Jalisco,Industria Limpia
145,"CFE TRANSMISIÓN, GERENCIA ORIENTE, ZONA XALAPA, SUBESTACIÓN CUYOACO MANIOBRAS",Puebla,Calidad Ambiental
146,"ENVASES UNIVERSALES DE MÉXICO, S.A.P.I. DE C.V. PLANTA MORELIA",Michoacan,Industria Limpia
147,"PRAXAIR MÉXICO, S. DE R.L. DE C.V. (PLANTA TOLUCA).",México,Industria Limpia
148,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA CELAYA, SUBESTACIONES AMISTAD BAJÍO, APASEO ORIENTE, CELAYA SUR, CORTÁZAR, HACIENDA, APASEO, CELAYA UNO, CELAYA PONIENTE, CHIPILO, DOLORES HIDALGO, FIPE SAN MIGUEL, LA CALIFORNIA, SAN FELIPE, SAN MIGUEL DE ALLENDE Y EMPALME ESCOBEDO",Guanajuato,Calidad Ambiental
149,"CERVECERÍA CUAUHTÉMOC MOCTEZUMA, S.A. DE C.V. GUADALAJARA",Jalisco,Industria Limpia
150,"PROTEÍNA ANIMAL, S.A. DE C.V. (MOLDEADORA)",Jalisco,Industria Limpia
151,"PROTEÍNA ANIMAL, S.A. DE C.V. (CORRUGADOS)",Jalisco,Industria Limpia
152,"SCHÜTZ ELSA, S.A. DE C.V. (PLANTA TULTITLÁN I)",Distrito Federal,Industria Limpia
153,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA TAPACHULA, SUBESTACIONES BELISARIO DOMÍNGUEZ Y TAPACHULA",Chiapas,Calidad Ambiental
154,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA SAN CRISTÓBAL, SUBESTACIÓN FRONTERA COMALAPA",Chiapas,Calidad Ambiental
155,"CFE DISTRIBUCIÓN, GERENCIA SURESTE, ZONA LOS RÍOS, SUBESTACIÓN PALENQUE",Chiapas,Calidad Ambiental
156,"CFE GENERACIÓN II EPS, CENTRAL HIDROELÉCTRICA JUMATÁN",Nayarit,Industria Limpia
157,"CFE GENERACIÓN II EPS, CENTRAL HIDROELÉCTRICA AGUAMILPA - SOLIDARIDAD",Nayarit,Industria Limpia
158,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CUAUHTÉMOC, SUBESTACIÓN RUÍZ CORTINES",Chihuahua,Calidad Ambiental
159,"CFE TRANSMISIÓN, GERENCIA ORIENTE, ZONA XALAPA, SUBESTACIÓN MAZATEPEC",Puebla,Calidad Ambiental
160,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CASAS GRANDES, SUBESTACIONES LA SALADA, MONTEVERDE Y VADO SANTA MARÍA",Chihuahua,Calidad Ambiental
161,CFE GENERACIÓN I EPS (CENTRAL HIDROELÉCTRICA COLOTLIPA),Guerrero,Industria Limpia
162,"CFE GENERACIÓN I EPS, CENTRAL HIDROELÉCTRICA GRAL. AMBROSIO FIGUEROA ""LA VENTA""",Guerrero,Industria Limpia
163,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DELICIAS, SUBESTACIÓN KILÓMETRO OCHENTA Y OCHO",Chihuahua,Calidad Ambiental
164,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA GUASAVE, SUBESTACIONES GUASAVE, BAMOA Y SALVADOR ALVARADO",Sinaloa,Calidad Ambiental
165,"CFE DISTRIBUCIÓN GERENCIA NOROESTE, ZONA MAZATLAN, SUBESTACIONES MAZATLAN NORTE Y VENADILLO",Sinaloa,Calidad Ambiental
166,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CULIACÁN, SUBESTACIONES CULIACÁN CENTRO, JAIME SEVILLA POYASTRO, TRES RIOS, CULIACÁN ORIENTE, MILENIUM Y CULIACÁN NORTE",Sinaloa,Calidad Ambiental
167,"HBPO MÉXICO, S.A. DE C.V., PLANTA PUEBLA",Puebla,Industria Limpia
168,"PROTEÍNA ANIMAL, S.A. DE C.V. (ADMINISTRACIÓN AMBIENTAL)",Jalisco,Calidad Ambiental
169,"PROTEÍNA ANIMAL, S.A. DE C.V. (TERMOFORMADOS)",Jalisco,Industria Limpia
170,"PROTEÍNA ANIMAL, S.A. DE C.V. (PLANTA DE ALIMENTOS)",Jalisco,Industria Limpia
171,"MULTIPAK, S.A. DE C.V., PLANTA SAN LUIS",San Luis Potosi,Industria Limpia
